Paper,Adaptive Systems,Evaluation of Systems and Algorithms,Model Steering and Active Learning,Replication,Report Generation,Understanding the User,Grammar,Graph,Model,Sequence,Classification Models,Pattern Analysis,Probabilistic Models/Prediction,Program Synthesis,Interactive Visual Analysis
Blascheck(2018)\cite{blascheck_exploration_2018},0,0,0,0,0,1,0,0,0,3,2,0,0,2,0
Douetal.(2009)\cite{dou_recovering_2009},0,0,0,0,0,1,0,0,0,3,2,0,0,2,0
Boukhelifa(2019)\cite{boukhelifa_exploratory_2019},0,0,0,0,0,1,0,0,0,3,2,0,0,0,0
Guoetal.(2015)\cite{guo_case_2015},0,0,0,0,0,1,0,0,0,3,2,0,0,0,0
Fengetal.(2019)\cite{feng_patterns_2019},0,0,0,0,0,1,0,0,0,3,0,0,2,0,0
BattleandHeer(2019)\cite{battle_characterizing_2019},0,0,0,0,0,1,0,0,0,3,0,2,2,0,0
Nguyenetal.(2018)\cite{nguyen_understanding_2018},0,0,0,0,0,1,0,0,0,3,0,2,2,0,0
Weietal.(2012)\cite{wei_visual_2012},0,0,0,0,0,1,0,0,0,3,0,0,2,0,0
Blaschecketal.(2016)\cite{blascheck_visual_2016},0,0,0,0,0,1,0,0,0,3,0,0,0,0,2
Tokeretal.(2017)\cite{toker_pupillometry_2017},0,0,0,0,0,1,0,0,0,0,2,0,2,0,0
YuandSilva(2020)\cite{yu_flowsense:_2020},0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
ManninoandAbouzied(2019)\cite{mannino_is_2019},0,0,0,0,0,1,0,0,0,0,0,2,2,0,0
Kodagodaetal.(2013)\cite{kodagoda_using_2013},0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
Madanagopaletal.(2019)\cite{madanagopal_analytic_2019},0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
KondoandCollins(2014)\cite{kondo_dimpvis:_2014},0,0,0,0,0,0,0,0,3,0,0,0,0,0,2
